               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058465,            0.024203,            0.066299,             0.07353,             0.71796,            0.092345,            0.058683,            0.013091,           0.0046843,            0.033334,            0.070083,           0.0033242,           0.0033242
                   1,            0.037244,             0.01699,            0.064228,            0.098631,             0.40474,             0.13152,            0.078776,            0.012786,           0.0040523,            0.031808,            0.039863,           0.0064378,           0.0064378
                   2,            0.035767,            0.016383,            0.061436,             0.24525,             0.39873,              0.2985,             0.17169,            0.013549,           0.0044207,            0.028411,           0.0094233,           0.0093314,           0.0093314
                   3,            0.034303,            0.016702,            0.056603,             0.40821,             0.55585,             0.45797,             0.21898,              0.0131,           0.0043755,            0.021615,             0.00901,             0.00901,             0.00901
                   4,            0.032119,            0.016105,            0.053714,              0.4445,             0.59658,             0.53797,             0.33231,            0.011051,           0.0040452,            0.018721,             0.00901,             0.00901,             0.00901
                   5,            0.030879,            0.016037,            0.052207,             0.50687,             0.59037,             0.51446,             0.32232,            0.011363,           0.0041671,            0.022697,             0.00868,             0.00868,             0.00868
                   6,            0.030052,            0.015715,            0.050877,             0.52859,             0.67201,             0.59867,             0.37866,            0.010541,           0.0042529,            0.016794,             0.00835,             0.00835,             0.00835
                   7,            0.028524,            0.015343,            0.048221,             0.62136,             0.71174,             0.69973,             0.46208,            0.009861,           0.0039175,            0.014127,             0.00802,             0.00802,             0.00802
                   8,            0.027287,            0.014999,            0.047218,             0.60535,             0.68099,             0.68014,             0.44566,            0.010756,           0.0039024,             0.01462,             0.00769,             0.00769,             0.00769
                   9,            0.027413,            0.014881,            0.047032,             0.60788,             0.69634,             0.69919,             0.47897,           0.0095212,           0.0037784,            0.016359,             0.00736,             0.00736,             0.00736
                  10,            0.026526,             0.01464,            0.045962,             0.68529,             0.74078,             0.78692,             0.54891,             0.01018,           0.0037291,            0.012135,             0.00703,             0.00703,             0.00703
                  11,             0.02643,            0.014405,            0.045395,             0.72735,             0.69347,             0.77815,             0.55151,           0.0087137,           0.0037072,            0.012061,              0.0067,              0.0067,              0.0067
                  12,            0.026586,            0.014364,            0.045144,             0.75468,             0.75627,             0.81207,             0.56559,            0.010028,           0.0035677,            0.012925,             0.00637,             0.00637,             0.00637
                  13,            0.024521,            0.014149,             0.04285,             0.77391,             0.80283,             0.83906,             0.59862,           0.0093726,           0.0035569,           0.0095901,             0.00604,             0.00604,             0.00604
                  14,            0.024287,            0.013849,            0.042544,             0.81699,              0.7722,             0.85008,             0.60444,           0.0095133,            0.003753,           0.0087294,             0.00571,             0.00571,             0.00571
                  15,              0.0242,            0.013567,            0.042004,             0.80216,              0.7537,             0.85918,             0.62262,           0.0092525,           0.0035263,            0.010418,             0.00538,             0.00538,             0.00538
                  16,            0.024016,            0.013596,            0.041853,             0.76201,              0.8354,             0.84675,             0.63878,           0.0090671,            0.003434,           0.0088534,             0.00505,             0.00505,             0.00505
                  17,            0.023678,            0.013587,            0.040436,             0.79383,             0.81445,             0.86122,             0.64582,           0.0092439,           0.0034273,           0.0091408,             0.00472,             0.00472,             0.00472
                  18,            0.023401,            0.013135,             0.03934,             0.83004,             0.78532,              0.8687,             0.65382,           0.0088356,           0.0034401,           0.0082561,             0.00439,             0.00439,             0.00439
                  19,            0.022376,            0.013045,            0.039984,             0.81474,              0.8064,              0.8752,              0.6543,           0.0078929,           0.0033613,           0.0095537,             0.00406,             0.00406,             0.00406
                  20,            0.022647,            0.013128,             0.03938,              0.7799,             0.85254,             0.87693,             0.67065,            0.007486,           0.0032214,           0.0078712,             0.00373,             0.00373,             0.00373
                  21,            0.021858,            0.012582,            0.037853,             0.78688,             0.81864,             0.86849,             0.67089,           0.0076432,           0.0033859,           0.0099342,              0.0034,              0.0034,              0.0034
                  22,            0.021544,            0.012683,            0.038095,             0.81288,             0.85996,             0.89991,             0.69812,           0.0069814,           0.0032367,           0.0076405,             0.00307,             0.00307,             0.00307
                  23,            0.020787,             0.01226,            0.036821,             0.86315,             0.81873,             0.89959,             0.70436,           0.0074725,           0.0031693,           0.0079497,             0.00274,             0.00274,             0.00274
                  24,            0.020468,             0.01222,            0.036924,             0.83917,             0.83046,             0.89845,             0.70681,           0.0073007,           0.0031402,           0.0070774,             0.00241,             0.00241,             0.00241
                  25,            0.019819,            0.011896,            0.035417,                0.82,             0.81308,             0.89924,             0.71185,           0.0066872,            0.003065,           0.0078478,             0.00208,             0.00208,             0.00208
                  26,             0.01949,            0.011894,            0.035342,             0.83411,             0.83923,             0.90055,             0.72101,           0.0068215,           0.0031381,           0.0085995,             0.00175,             0.00175,             0.00175
                  27,            0.019006,            0.011663,            0.034508,             0.80216,             0.86135,             0.90453,             0.72591,           0.0067406,           0.0030467,           0.0083465,             0.00142,             0.00142,             0.00142
                  28,            0.018798,            0.011387,            0.034596,             0.80749,              0.8733,             0.91066,              0.7353,           0.0064836,           0.0029566,           0.0077406,             0.00109,             0.00109,             0.00109
                  29,            0.018297,            0.011301,            0.033696,             0.84404,              0.8677,             0.91501,             0.74757,           0.0063111,           0.0030075,           0.0072668,             0.00076,             0.00076,             0.00076
